RPC,Source,Description,Lithology,Vs [km/s],VpVs ratio,Rho [kg/m³]
101593,RPC,DSDP S.288 981 M,limestone,1.8297,1.8472,2426.6709
101682,RPC,DSDP S.289 430 M,limestone,0.6998,2.9531,1778.9898
101683,RPC,DSDP S.289 430 M,limestone,0.6352,3.3213,1735.9672
101687,RPC,DSDP S.289 499 M,limestone,0.6457,3.2673,1808.8813
101695,RPC,DSDP S.289 551 M,limestone,0.8287,2.6884,1777.1923
101696,RPC,DSDP S.289 551 M,limestone,0.7966,2.8509,1778.1485
101699,RPC,DSDP S.289 582 M,limestone,0.7966,2.7834,1807.9159
101700,RPC,DSDP S.289 582 M,limestone,0.7536,2.8994,1844.4979
101701,RPC,DSDP S.289 590 M,limestone,0.8612,2.6122,1843
101702,RPC,DSDP S.289 590 M,limestone,0.8396,2.6538,1867.2439
101703,RPC,DSDP S.289 601 M,limestone,0.8287,2.7926,1867.3117
101704,RPC,DSDP S.289 601 M,limestone,0.7536,2.9996,1917.5085
101705,RPC,DSDP S.289 610 M,limestone,0.8504,2.6582,1792.9096
101706,RPC,DSDP S.289 610 M,limestone,0.8179,2.7373,1819.0422
101707,RPC,DSDP S.289 611 M,limestone,0.9042,2.5475,1758
101708,RPC,DSDP S.289 611 M,limestone,0.9042,2.4761,1773.3808
101709,RPC,DSDP S.289 618 M,limestone,1.0226,2.3157,1859.9258
101710,RPC,DSDP S.289 618 M,limestone,1.0226,2.3365,1820.2442
101711,RPC,DSDP S.289 622 M,limestone,1.0335,2.354,1879.5706
101712,RPC,DSDP S.289 622 M,limestone,1.0548,2.3266,1845
101713,RPC,DSDP S.289 628 M,limestone,0.958,2.3596,1855.4361
101714,RPC,DSDP S.289 628 M,limestone,0.8825,2.6346,1891.8538
101719,RPC,DSDP S.289 656 M,limestone,0.8825,2.5491,1854.5816
101720,RPC,DSDP S.289 656 M,limestone,0.8179,2.8428,1797.2688
101721,RPC,DSDP S.289 659 M,limestone,0.9902,2.4241,1820.5338
101722,RPC,DSDP S.289 659 M,limestone,0.9902,2.5003,1905.3132
101723,RPC,DSDP S.289 666 M,limestone,0.8825,2.5613,1865.1871
101724,RPC,DSDP S.289 666 M,limestone,0.7966,2.932,1866.0056
101725,RPC,DSDP S.289 697 M,limestone,0.9255,2.4888,1827.4868
101726,RPC,DSDP S.289 697 M,limestone,0.9472,2.4773,1776.6837
101727,RPC,DSDP S.289 705 M,limestone,0.8934,2.5421,1952.3179
101728,RPC,DSDP S.289 705 M,limestone,0.915,2.6113,1905.4911
101730,RPC,DSDP S.289 714 M,limestone,0.9472,2.4548,1978.0624
